DrugBankID	GeneName
P09601	HMOX1
P30519	HMOX2
P05093	CYP17A1
P14679	TYR
P14207	FOLR2
P41439	FOLR3
P15328	FOLR1
O60488	ACSL4
O95573	ACSL3
O14842	FFAR1
Q5JTZ9	AARS2
P49588	AARS
P43007	SLC1A4
P26640	VARS
Q96NR8	RDH12
O75911	DHRS3
Q6NUM9	RETSAT
Q8TC12	RDH11
Q9BTZ2	DHRS4
Q9HBH5	RDH14
Q9NYR8	RDH8
O95237	LRAT
P09455	RBP1
Q8NBN7	RDH13
P10745	RBP3
P12271	RLBP1
P05090	APOD
O75469	NR1I2
P05771	PRKCB
P09917	ALOX5
P23743	DGKA
P62714	PPP2CB
P67775	PPP2CA
Q9UDX3	SEC14L4
Q9UDX4	SEC14L3
O76054	SEC14L2
Q9Y234	LIPT1
O43766	LIAS
Q9NSE4	IARS2
P45954	ACADSB
P41252	IARS
Q8TE23	TAS1R2
Q7RTX0	TAS1R3
Q9BQB6	VKORC1
Q8N0U8	VKORC1L1
P04070	PROC
P22891	PROZ
P15559	NQO1
P02818	BGLAP
P42684	ABL2
P08183	ABCB1
P45844	ABCG1
Q92887	ABCC2
O95477	ABCA1
Q9UM73	ALK
Q13564	NAE1
P10398	ARAF
P37023	ACVRL1
P49902	NT5C2
O43681	ASNA1
O60706	ABCC9
P31749	AKT1
P25098	GRK2
O14727	APAF1
P36896	ACVR1B
Q04771	ACVR1
O95342	ABCB11
Q96Q40	CDK15
P12235	SLC25A4
Q09428	ABCC8
Q9Y4W6	AFG3L2
P35626	GRK3
Q16671	AMHR2
Q07912	TNK2
P00519	ABL1
O95255	ABCC6
O15439	ABCC4
P33527	ABCC1
P13569	CFTR
P42336	PIK3CA
P68400	CSNK2A1
P67870	CSNK2B
Q96G91	P2RY11
P53041	PPP5C
O43272	PRODH
O43447	PPIH
P23284	PPIB
P45877	PPIC
Q13427	PPIG
Q4W8W1	P5CR2
Q7L3T8	PARS2
Q53H96	PYCR3
Q96EM0	L3HYPDH
Q9UN76	SLC6A14
Q99884	SLC6A7
P07741	APRT
P0AF12	mtnN
P24666	ACP1
Q9BY49	PECR
P17802	mutY
Q8RLY5	ptd
P78362	SRPK2
Q5SL87	ruvB
Q13126	MTAP
Q05603	cobT
Q15758	SLC1A5
Q96I59	NARS2
O43776	NARS
P31645	SLC6A4
Q12809	KCNH2
P30556	AGTR1
P12821	ACE
P46663	BDKRB1
P04278	SHBG
P04150	NR3C1
Q9UBS5	GABBR1
O75899	GABBR2
Q05940	SLC18A2
Q01959	SLC6A3
Q16568	CARTPT
Q96RJ0	TAAR1
P23975	SLC6A2
P35348	ADRA1A
P35368	ADRA1B
P25100	ADRA1D
P08913	ADRA2A
P18089	ADRA2B
P18825	ADRA2C
P13945	ADRB3
P14416	DRD2
P27338	MAOB
P21397	MAOA
Q99870	VMAT2
P32239	CCKBR
P43681	CHRNA4
P17787	CHRNB2
Q15822	CHRNA2
P32297	CHRNA3
P30532	CHRNA5
Q15825	CHRNA6
Q9UGM1	CHRNA9
Q9GZZ6	CHRNA10
Q05901	CHRNB3
P30926	CHRNB4
P11511	CYP19A1
P28329	CHAT
P20309	CHRM3
P11229	CHRM1
P14867	GABRA1
P47869	GABRA2
P34903	GABRA3
P48169	GABRA4
P31644	GABRA5
Q16445	GABRA6
P18505	GABRB1
P47870	GABRB2
P28472	GABRB3
O14764	GABRD
P78334	GABRE
Q8N1C3	GABRG1
P18507	GABRG2
Q99928	GABRG3
O00591	GABRP
Q9UN88	GABRQ
P30536	TSPO
P28074	PSMB5
P20618	PSMB1
Q14524	SCN5A
P35372	OPRM1
P28335	HTR2C
P41145	OPRK1
P41143	OPRD1
Q693P7	CHRNA7
P03198	BALF5
P09250	TK
Q9QNF7	TK
P10613	ERG11
Q99808	SLC29A1
P62508	ESRRG
P11474	ESRRA
P11485	NA
P23141	CES1
Q99519	NEU1
Q9Y3R4	NEU2
O43193	MLNR
P02768	ALB
P20061	TCN1
Q9BXJ7	AMN
O60494	CUBN
Q96EY8	MMAB
P30542	ADORA1
P29274	ADORA2A
P21817	RYR1
P54750	PDE1A
Q01064	PDE1B
Q14123	PDE1C
Q9Y233	PDE10A
P27815	PDE4A
Q08493	PDE4C
Q9NP56	PDE7B
O00408	PDE2A
Q14432	PDE3A
Q13370	PDE3B
O76074	PDE5A
P51160	PDE6C
Q9HCR9	PDE11A
Q13946	PDE7A
O60658	PDE8A
O95263	PDE8B
O76083	PDE9A
P16499	PDE6A
P35913	PDE6B
P78527	PRKDC
O00329	PIK3CD
P42338	PIK3CB
Q14643	ITPR1
Q14571	ITPR2
