,ProteinID,GeneNames,Transcription regulation,Transmembrane,DNA-binding,Kinase,metaboli,RNA-binding,signal,enzyme,ase,Enzyme,Oncogene,TSG
5510,P41181,AQP2,0,1,0,0,0,0,0,0,1,0,0,0
5511,Q66PJ3,ARL6IP4,0,0,0,0,0,0,0,0,0,0,0,0
5512,P29466,CASP1,0,0,0,0,0,0,0,0,1,1,0,0
5513,P35626,GRK3,0,0,0,1,0,0,0,0,1,1,0,0
5514,Q6UXS9,CASP12,0,0,0,0,0,0,0,0,0,1,0,0
5515,P31415,CASQ1,0,0,0,0,0,0,0,0,1,0,0,0
5516,Q8N1W1,ARHGEF28,0,0,0,0,0,1,0,0,0,0,0,0
5517,Q8N4T4,ARHGEF39,0,0,0,0,0,0,0,0,0,0,0,0
5518,Q9HCE6,ARHGEF10L,0,0,0,0,0,0,0,0,0,0,0,1
5519,Q8IV13,CCNJL,0,0,0,0,0,0,0,0,0,0,0,0
5520,Q5T5M9,CCNJ,0,0,0,0,0,0,0,0,0,0,0,0
5521,Q96S94,CCNL2,1,0,0,0,0,0,0,0,0,0,0,0
5522,P22674,CCNO,0,0,0,0,0,0,0,0,1,0,0,0
5523,O60563,CCNT1,1,0,0,0,0,0,0,0,0,1,0,0
5524,P51677,CCR3,0,1,0,0,0,0,0,0,0,0,0,0
5525,P56211,ARPP19,0,0,0,0,0,0,0,0,1,0,0,0
5526,Q9P1U1,ACTR3B,0,0,0,0,0,0,0,0,0,0,0,0
5527,Q9GZN1,ACTR6,0,0,0,0,0,0,0,0,0,0,0,0
5528,Q7Z6K5,ARPIN,0,0,0,0,0,0,0,0,0,0,0,0
5529,P32248,CCR7,0,1,0,0,0,0,0,0,0,0,1,0
5530,P15289,ARSA,0,0,0,0,0,0,0,0,1,1,0,0
5531,P51685,CCR8,0,1,0,0,0,0,0,0,0,0,0,0
5532,P51686,CCR9,0,1,0,0,0,0,0,0,0,0,0,0
5533,P15848,ARSB,0,0,0,0,0,0,0,0,1,1,0,0
5534,P51689,ARSD,0,0,0,0,0,0,0,0,1,1,0,0
5535,Q6UWY0,ARSK,0,0,0,0,0,0,0,0,1,1,0,0
5536,Q5FYB0,ARSJ,0,0,0,0,0,0,0,0,1,1,0,0
5537,Q9H2C2,ARV1,0,1,0,0,1,0,0,0,1,0,0,0
5538,P18440,NAT1,0,0,0,0,0,0,0,0,1,1,0,0
5539,Q96QS3,ARX,1,0,1,0,0,0,0,0,1,0,0,0
5540,P0C7U1,ASAH2B,0,0,0,0,0,0,0,0,0,1,0,0
5541,Q8TBH0,ARRDC2,0,0,0,0,0,0,0,0,0,0,0,0
5542,Q96NS5,ASB16,0,0,0,0,0,0,0,0,0,0,0,0
5543,Q8WXJ9,ASB17,0,0,0,0,0,0,0,0,0,0,0,0
5544,O43150,ASAP2,0,0,0,0,0,0,0,0,1,0,0,0
5545,Q8TDY4,ASAP3,0,0,0,0,0,0,0,0,0,0,0,0
5546,Q8WXI3,ASB10,0,0,0,0,0,0,0,0,1,0,0,0
5547,Q8WXK4,ASB12,0,0,0,0,0,0,0,0,0,0,0,0
5548,Q9NWX5,ASB6,0,0,0,0,0,0,0,0,0,0,0,0
5549,Q9NQ33,ASCL3,1,0,1,0,0,0,0,0,0,0,0,0
5550,P46597,ASMT,0,0,0,0,0,0,0,0,1,1,0,0
5551,A6ND91,ASPDH,0,0,0,0,0,0,0,0,1,1,0,0
5552,Q9P0M2,AKAP7,0,0,0,0,0,0,0,0,0,0,0,0
5553,Q9UM73,ALK,0,1,0,1,0,0,0,0,1,1,1,0
5554,Q96BM1,ANKRD9,0,0,0,0,0,0,0,0,0,0,0,0
5555,Q68DC2,ANKS6,0,0,0,0,0,0,0,0,1,0,0,0
5556,Q9P2S6,ANKMY1,0,0,0,0,0,0,0,0,0,0,0,0
5557,Q8IV38,ANKMY2,0,0,0,0,0,0,0,0,0,0,0,0
5558,Q32M45,ANO4,0,1,0,0,0,0,0,0,0,1,0,0
5559,Q7Z713,ANKRD37,0,0,0,0,0,0,0,0,0,0,0,0
5560,Q4KMQ2,ANO6,0,1,0,0,0,0,0,0,0,1,0,0
5561,Q8N8A2,ANKRD44,0,0,0,0,0,0,0,0,0,0,0,0
5562,Q92625,ANKS1A,0,0,0,0,0,0,0,0,0,0,0,0
5563,Q86W74,ANKRD46,0,1,0,0,0,0,0,0,0,0,0,0
5564,A1A5B4,ANO9,0,1,0,0,0,0,0,0,0,1,0,0
5565,Q96LA8,PRMT6,1,0,0,0,0,0,0,0,1,1,0,0
5566,Q9H6X2,ANTXR1,0,1,0,0,0,0,0,0,0,0,0,0
5567,P17342,NPR3,0,1,0,0,0,0,0,0,0,0,0,0
5568,Q9BZ19,ANKRD60,0,0,0,0,0,0,0,0,0,0,0,0
5569,A6NGH8,ANKRD61,0,0,0,0,0,0,0,0,0,0,0,0
5570,Q6UB99,ANKRD11,0,0,0,0,0,0,0,0,1,0,0,0
5571,Q6P6B7,ANKRD16,0,0,0,0,0,0,0,0,0,0,0,0
5572,O75179,ANKRD17,0,0,0,0,0,1,0,0,0,0,0,0
5573,Q86SG2,ANKRD23,0,0,0,0,0,0,0,0,0,0,0,0
5574,P27216,ANXA13,0,0,0,0,0,0,0,0,0,0,0,0
5575,Q6TDU7,CASC1,0,0,0,0,0,0,0,0,0,0,0,0
5576,Q96PB1,CASD1,0,1,0,0,0,0,0,0,1,1,0,0
5577,Q13520,AQP6,0,1,0,0,0,0,0,0,0,0,0,0
5578,O14520,AQP7,0,1,0,0,0,0,0,0,0,0,0,0
5579,P07498,CSN3,0,0,0,0,0,0,0,0,0,0,0,0
5580,Q9UF02,CACNG5,0,1,0,0,0,0,0,0,0,0,0,0
5581,Q16663,CCL15,0,0,0,0,0,0,0,0,0,0,0,0
5582,O15467,CCL16,0,0,0,0,0,0,0,0,0,0,0,0
5583,Q99731,CCL19,0,0,0,0,0,0,0,0,0,0,0,0
5584,P22362,CCL1,0,0,0,0,0,0,0,0,0,0,0,0
5585,P78556,CCL20,0,0,0,0,0,0,0,0,0,0,0,0
5586,O00585,CCL21,0,0,0,0,0,0,0,0,0,0,0,0
5587,O00626,CCL22,0,0,0,0,0,0,0,0,0,0,0,0
5588,O15444,CCL25,0,0,0,0,0,0,0,0,0,0,0,0
5589,P80075,CCL8,0,0,0,0,0,0,0,0,0,1,0,0
5590,Q8WWL7,CCNB3,0,0,0,0,0,0,0,0,0,0,0,0
5591,P24385,CCND1,1,0,0,0,0,0,0,0,0,1,1,0
5592,Q9UBL0,ARPP21,0,0,0,0,0,0,0,0,0,0,0,0
5593,P61160,ACTR2,0,0,0,0,0,0,0,0,0,0,0,0
5594,P49407,ARRB1,1,0,0,0,0,0,0,0,0,0,0,0
5595,O00192,ARVCF,0,0,0,0,0,0,0,0,0,0,0,0
5596,P32121,ARRB2,0,0,0,0,0,0,0,0,0,0,0,0
5597,P36575,ARR3,0,0,0,0,0,0,0,0,1,0,0,0
5598,Q8N5I2,ARRDC1,0,0,0,0,0,0,0,0,0,0,0,0
5599,Q9H7U1,CCSER2,0,0,0,0,0,0,0,0,0,0,0,0
5600,Q9HBK9,AS3MT,0,0,0,0,0,0,0,0,1,1,0,0
5601,Q8N9N2,ASCC1,1,0,0,0,0,0,0,0,0,0,0,0
5602,P07307,ASGR2,0,1,0,0,0,0,0,0,0,0,0,0
5603,Q5T2Q4,CCNYL2,0,0,0,0,0,0,0,0,0,0,0,0
5604,Q7L266,ASRGL1,0,0,0,0,0,0,0,0,1,1,0,0
5605,Q92484,SMPDL3A,0,0,0,0,0,0,0,0,1,1,0,0
5606,P17405,SMPD1,0,0,0,0,0,0,0,0,1,1,0,0
5607,Q96KQ4,PPP1R13B,0,0,0,0,0,0,0,0,0,0,0,0
5608,O94817,ATG12,0,0,0,0,0,0,0,0,0,1,0,0
5609,O14983,ATP2A1,0,1,0,0,0,0,0,0,1,1,0,0
5610,O43520,ATP8B1,0,1,0,0,0,0,0,0,1,1,0,0
5611,Q5VTU8,ATP5EP2,0,0,0,0,0,0,0,0,1,1,0,0
5612,P24539,ATP5PB,0,0,0,0,0,0,0,0,0,0,0,0
