sNET, RSS of Yobs-YNF without the left out experiment, RSS of Pobs-PNF without the left out experiment, WRSS of Yobs-YNF without the left out experiment, WRSS of Pobs-PNF without the left out experiment, RSS of Yobs without the left out experiment , RSS of Pobs without the left out experiment , WRSS of Yobs without the left out experiment , WRSS of Pobs without the left out experiment , RSS(Yobs), RSS(Pobs), WRSS(Yobs), WRSS(Pobs), RSS(Eobs), RSS(Fobs), WRSS(Eobs), WRSS(Fobs), RSS(Yobs-Ypred) LOO, RSS(Pobs-Ppred) LOO, WRSS(Yobs-Ypred) LOO, WRSS(Pobs-Ppred) LOO, Y pred for LOO, RSS of linear combination of P, WRSS of prediction of Y, SPCorr, relErrorY, relErrorP, relErrorYdouble, relErrorPdouble
FITBotlsco_network_L1155_M115_support93.3_8.12e-03,610.249,14.1025,431.485,979.34,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,642.491,14.2913,454.282,992.454,36155.2,15.5583,25564,1080.44,36155.2,25.0835,25564,0.27501,0.202688,0.20393,0.202413,0.204162
FITBolasso_network_L1145_M115_support97.5_1.52e-03,1186.45,26.7794,838.898,1859.68,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1206.98,27.6401,853.412,1919.45,37061.6,22.633,26204.9,1571.74,37061.6,25.0835,26204.9,0.243997,0.359109,0.398663,0.380252,0.394859
indegreeRandomFit_Bolasso_network_L1031_M115_support97.2_2.01e-03,923.496,20.6871,652.97,1436.61,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,952.568,21.2604,673.526,1476.41,41561.3,20.8319,29386.5,1446.66,41561.3,25.0835,29386.5,0.267532,0.288913,0.299135,0.300101,0.30372
indegreeRandomFit_Bolasso_network_L1253_M115_support97.6_1.16e-03,915.77,21.4933,647.507,1492.59,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1034.88,21.0779,731.728,1463.74,41894.8,20.0962,29622.3,1395.57,41894.8,25.0835,29622.3,0.217076,0.279095,0.314217,0.326034,0.301113
FITBotlsco_network_L1438_M115_support98.1_2.70e-03,709.583,14.973,501.72,1039.79,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,659.725,16.4091,466.467,1139.52,43830.7,15.3297,30991.1,1064.56,43830.7,25.0835,30991.1,0.284431,0.235834,0.221532,0.207842,0.234415
indegreeRandomFit_Bolasso_network_L1145_M115_support98.4_1.52e-03,1099.79,24.9527,777.621,1732.82,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1211.71,24.9226,856.754,1730.74,44656,21.7632,31574.6,1511.33,44656,25.0835,31574.6,0.277202,0.335611,0.369234,0.381741,0.356037
FITBolasso_network_L785_M115_support96.6_3.49e-03,1156.05,25.2156,817.402,1751.08,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1242.59,25.6285,878.593,1779.76,47508.2,20.7501,33591.3,1440.98,47508.2,25.0835,33591.3,0.249954,0.402476,0.369625,0.391472,0.366121
FITBolasso_network_L1325_M115_support98.9_8.76e-04,1293.83,27.641,914.822,1919.51,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1236.59,28.9964,874.347,2013.64,47975.1,22.8843,33921.4,1589.18,47975.1,25.0835,33921.4,0.276835,0.421086,0.404372,0.38958,0.414234
FITBolasso_network_L1253_M115_support97.6_1.16e-03,1216.15,25.9799,859.898,1804.16,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1306.53,26.3427,923.802,1829.35,49036.5,21.6517,34671.9,1503.59,49036.5,25.0835,34671.9,0.200738,0.397116,0.37239,0.411615,0.376324
indegreeRandomFit_Bolasso_network_L1031_M115_support97.2_2.01e-03,958.884,20.3014,677.992,1409.82,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,997.574,20.7595,705.348,1441.63,58163.4,18.7482,41125.2,1301.96,58163.4,25.0835,41125.2,0.243764,0.323199,0.280764,0.31428,0.296564
indegreeRandomFit_Bolasso_network_L1253_M115_support98.7_1.16e-03,1193.21,24.4811,843.674,1700.07,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1189.93,25.5977,841.355,1777.62,58484.7,23.1726,41352.4,1609.21,58484.7,25.0835,41352.4,0.341874,0.386923,0.35714,0.374879,0.365681
FITBolsco_network_L383_M115_support76.1_2.84e-02,807.489,16.6041,570.946,1153.06,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,827.412,17.0893,585.033,1186.75,61951.3,16.1947,43803.5,1124.63,61951.3,25.0835,43803.5,0.229941,0.273197,0.241511,0.260671,0.244132
FITBolsco_network_L1370_M115_support98.5_3.11e-03,879.695,20.3549,622,1413.54,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,903.083,20.9698,638.537,1456.23,64538.6,19.2086,45632.9,1333.93,64538.6,25.0835,45632.9,0.271379,0.296352,0.301546,0.284511,0.299568
FITBolsco_network_L79_M115_support10.2_1.13e-01,716.939,15.5756,506.922,1081.64,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,731.616,16.0578,517.299,1115.13,67945.6,17.288,48041.9,1200.55,67945.6,25.0835,48041.9,0.315835,0.219149,0.241615,0.230491,0.229397
FITBolsco_network_L1599_M115_support100.1_1.47e-06,766.995,15.1179,542.314,1049.86,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,696.814,16.4857,492.692,1144.84,68945.6,13.334,48748.9,925.972,68945.6,25.0835,48748.9,0.149307,0.244407,0.21598,0.219527,0.23551
indegreeRandomFit_Bolasso_network_L1253_M115_support97.6_1.16e-03,988.8,22.2548,699.144,1545.47,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,938.303,23.8881,663.44,1658.89,70190.8,22.1222,49629.4,1536.26,70190.8,25.0835,49629.4,0.217993,0.348544,0.304565,0.295607,0.341258
FITBotlsco_network_L1257_M115_support95.1_6.16e-03,620.357,14.2718,438.632,991.094,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,653.122,14.4629,461.798,1004.36,72774.7,15.6352,51456.3,1085.78,72774.7,25.0835,51456.3,0.0763923,0.20681,0.207402,0.205762,0.206612
FITBotlsco_network_L1393_M115_support97.4_3.55e-03,700.301,14.437,495.157,1002.57,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,640.852,15.9308,453.123,1106.3,74992.3,14.4421,53024.3,1002.93,74992.3,25.0835,53024.3,0.239904,0.229753,0.214712,0.201896,0.227583
indegreeRandomFit_Bolasso_network_L1031_M115_support98.1_2.01e-03,1010.47,23.4837,714.464,1630.81,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1036.5,24.2002,732.873,1680.57,75005.1,23.4004,53033.4,1625.03,75005.1,25.0835,53033.4,0.272072,0.303501,0.34762,0.326544,0.345717
indegreeRandomFit_Bolasso_network_L1253_M115_support98.7_1.16e-03,1097.33,22.8149,775.879,1584.37,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1174.48,23.0019,830.43,1597.35,79428.6,21.0114,56161.1,1459.12,79428.6,25.0835,56161.1,0.328515,0.304821,0.348161,0.370012,0.328598
FITBolsco_network_L79_M115_support18.1_1.13e-01,743.757,17.3021,525.884,1201.54,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,759.125,17.8783,536.75,1241.55,80510.6,18.4784,56926.1,1283.22,80510.6,25.0835,56926.1,0.159809,0.256581,0.250119,0.239158,0.255405
FITBotlsco_network_L1340_M115_support96.4_4.68e-03,710.86,14.2499,502.624,989.577,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,632.099,16.0376,446.934,1113.72,87337.4,14.6136,61753.1,1014.83,87337.4,25.0835,61753.1,0.236372,0.250163,0.200925,0.199139,0.229109
FITBolasso_network_L1253_M115_support98.7_1.16e-03,1236.74,27.3809,874.455,1901.45,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1355.56,27.6887,958.467,1922.83,93046,22.9201,65789.4,1591.67,93046,25.0835,65789.4,0.274714,0.392865,0.402411,0.427061,0.395553
FITBolasso_network_L1253_M115_support98.7_1.16e-03,1236.74,27.3809,874.455,1901.45,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1355.56,27.6887,958.467,1922.83,93046,22.9201,65789.4,1591.67,93046,25.0835,65789.4,0.274714,0.392865,0.402411,0.427061,0.395553
FITBolasso_network_L1384_M115_support99.1_6.65e-04,1194.74,26.4588,844.757,1837.42,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1304.45,26.755,922.329,1857.98,106300,22.2847,75161,1547.55,106300,25.0835,75161,0.19182,0.362137,0.392813,0.410959,0.382214
FITBolsco_network_L1423_M115_support98.9_2.36e-03,906.012,20.467,640.608,1421.32,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,973.942,20.6338,688.639,1432.9,113381,19.0754,80167.6,1324.68,113381,25.0835,80167.6,0.206516,0.313649,0.299142,0.306835,0.294768
indegreeRandomFit_Bolasso_network_L1253_M115_support97.6_1.16e-03,1074.66,24.2724,759.85,1685.58,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1051.46,25.5331,743.45,1773.13,129905,22.7533,91851.1,1580.09,129905,25.0835,91851.1,0.204198,0.321244,0.369227,0.331256,0.364758
indegreeRandomFit_Bolasso_network_L1325_M115_support97.5_8.76e-04,1039.25,20.9014,734.813,1451.48,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1030.03,21.9675,728.3,1525.52,136710,19.7585,96662.4,1372.12,136710,25.0835,96662.4,0.145389,0.339515,0.305385,0.324506,0.313821
FITBolsco_network_L151_M115_support64_6.50e-02,1003.08,20.5214,709.241,1425.09,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,875.042,22.7141,618.71,1577.37,139742,18.758,98806.4,1302.64,139742,25.0835,98806.4,0.304429,0.333878,0.305867,0.275677,0.324487
indegreeRandomFit_Bolasso_network_L1145_M115_support98.4_1.52e-03,1136.01,24.5223,803.23,1702.94,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1049.73,26.4632,742.225,1837.72,150132,23.6336,106153,1641.22,150132,25.0835,106153,0.219848,0.380107,0.344975,0.33071,0.378046
FITBotlsco_network_L374_M115_support62.6_4.25e-02,640.765,12.4491,453.062,864.518,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,532.822,14.7418,376.739,1023.73,152259,13.9252,107657,967.03,152259,25.0835,107657,0.173645,0.212641,0.183657,0.167862,0.210596
